Marital_Status,Kidhome,Teenhome,Education_Level,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmpOverall
Married,0,0,Master,70963,41,129,15,65,27,17,19,1
Single,0,0,Master,74797,34,134,18,93,25,19,13,1
Married,0,1,Graduation,87970,27,111,23,97,57,46,6,1
Together,0,2,Graduation,45404,13,0,4,41,45,31,0,0
Single,0,0,Graduation,47304,30,85,6,52,12,11,8,1
Married,0,0,Graduation,67846,55,136,12,67,29,19,19,1
Married,2,0,Graduation,81006,16,0,48,0,27,58,0,1
Single,1,0,Graduation,48885,28,54,12,15,25,19,6,1
Single,0,0,Graduation,57209,22,118,14,52,21,12,13,1
Single,0,0,Graduation,52177,50,101,10,47,32,10,10,0
Single,0,0,Graduation,74362,56,152,20,75,25,18,22,0
Together,0,0,Graduation,64356,61,137,20,58,31,9,10,0
Together,0,2,Master,62069,27,0,7,73,73,38,0,1
Married,0,1,Graduation,55354,38,42,13,60,41,35,5,0
Together,1,0,Master,67059,38,75,30,31,28,34,12,0
Together,0,0,Graduation,62040,37,114,18,53,21,17,11,1
Single,0,0,Graduation,75709,47,157,17,96,27,20,13,1
Together,1,1,Graduation,81272,48,0,38,40,50,47,0,0
Married,1,1,Basic,42253,50,0,15,21,37,28,0,1
Together,0,1,PhD,97768,32,88,17,117,71,35,8,1
Together,1,0,Basic,63688,30,68,22,36,27,31,9,0
Single,0,0,Graduation,55034,27,96,11,62,24,25,7,0
Single,0,0,2n Cycle,69369,17,144,11,90,18,19,15,1
Single,0,0,2n Cycle,46117,53,80,10,56,9,5,10,1
Married,0,2,Master,86084,31,0,18,89,92,77,0,1
Together,0,2,Graduation,102378,29,0,12,105,100,75,0,1
Together,1,2,Master,76458,64,0,31,32,69,83,0,1
Single,0,0,Graduation,57873,68,125,13,50,19,11,11,1
Married,1,2,Graduation,53292,30,0,23,27,48,59,0,1
Married,2,1,Graduation,74231,30,0,49,0,51,82,0,1
Single,0,0,Graduation,77968,25,166,13,76,21,23,18,1
Single,0,0,Master,59359,53,119,14,48,16,11,13,1
Single,0,0,Graduation,71114,46,151,13,77,33,8,16,1
Together,0,2,Graduation,62050,20,0,8,68,72,53,0,1
Single,0,0,PhD,74023,46,139,16,69,34,15,10,1
Married,1,2,2n Cycle,75339,43,0,30,25,68,81,0,0
Married,2,0,Graduation,44602,66,0,25,0,21,40,0,0
Single,0,0,Graduation,60129,21,131,11,53,17,11,9,0
Widow,0,0,2n Cycle,87805,24,176,15,73,25,18,18,1
Widow,0,0,Graduation,75227,40,160,23,77,35,12,16,0
Single,0,0,Basic,50105,48,94,11,41,14,9,7,0
Married,1,1,Master,78009,57,0,35,36,51,49,0,0
Single,0,0,Graduation,91689,59,167,21,88,29,17,24,1
Single,0,0,Master,75772,11,152,14,78,31,14,12,1
Single,0,0,Graduation,43859,39,96,9,36,17,6,6,0
Married,1,2,Graduation,60010,6,0,39,34,59,66,0,1
Married,0,2,Master,81409,12,0,17,87,80,55,0,1
Single,0,0,PhD,98867,48,216,21,107,40,30,23,1
Single,0,0,2n Cycle,67916,45,143,13,62,26,16,20,0
Together,0,1,Graduation,80885,61,74,19,80,44,39,8,0
Single,0,0,Master,53053,23,106,5,49,22,9,6,1
Single,0,0,PhD,89461,40,152,15,102,34,19,12,1
Married,1,2,PhD,78933,18,0,39,43,87,78,0,1
Widow,0,0,Graduation,76199,65,152,15,64,20,21,12,0
Single,0,0,Graduation,75751,28,174,19,79,17,25,19,1
Married,2,1,2n Cycle,59470,32,0,37,0,30,44,0,1
Married,2,0,PhD,68395,12,0,39,0,21,47,0,1
Single,1,0,Graduation,57478,60,55,25,21,9,18,9,1
Married,0,0,Graduation,74815,70,183,19,85,29,19,10,1
Single,0,0,PhD,90243,30,182,21,92,33,18,15,1
Married,1,2,2n Cycle,54663,17,0,13,30,58,45,0,1
Married,0,2,Master,71688,36,0,6,74,74,56,0,0
Married,1,2,Graduation,76228,15,0,18,40,63,70,0,1
Single,0,0,2n Cycle,66187,60,144,17,59,29,26,16,1
Together,0,1,Graduation,69043,44,68,15,75,48,30,5,0
Single,1,0,2n Cycle,55801,58,63,31,24,19,25,7,1
Single,1,0,Graduation,51907,23,50,16,10,26,30,1,0
Single,1,0,Graduation,76307,16,86,32,36,27,41,4,0
Married,2,0,Basic,78203,37,0,41,0,28,48,0,1
Married,2,1,PhD,81233,52,0,43,0,55,78,0,1
Single,1,0,Graduation,55884,25,57,21,29,16,32,8,1
Married,0,1,Graduation,83255,43,93,23,93,70,48,8,0
Single,0,0,Graduation,65509,33,143,22,66,18,14,14,1
Married,0,0,Graduation,81728,57,163,15,86,26,20,14,1
Single,0,0,PhD,84065,28,175,16,77,35,16,14,1
Married,2,0,Graduation,78695,36,0,52,0,25,54,0,0
Single,0,0,Graduation,56891,61,123,14,54,21,14,8,1
Together,1,1,Master,43030,15,0,17,21,23,32,0,1
Single,0,0,Graduation,65899,52,132,8,64,23,29,10,1
Single,0,0,Graduation,73348,37,149,17,63,24,24,13,1
Single,0,0,Master,74287,55,147,19,90,18,24,15,0
Together,1,2,Master,61809,34,0,13,28,68,52,0,1
Together,0,1,Graduation,57317,33,67,7,62,40,36,6,1
Single,0,0,Graduation,99856,38,220,27,85,32,20,15,1
Married,0,2,PhD,95276,2,0,15,100,79,60,0,1
Together,2,1,Graduation,30783,44,0,17,0,19,33,0,0
Married,0,2,Master,71386,61,0,14,72,77,56,0,1
Married,2,2,PhD,86744,13,0,46,0,79,110,0,1
Single,0,0,Master,51424,44,101,10,42,21,17,8,1
Single,0,0,2n Cycle,56052,67,109,13,46,13,17,13,0
Together,1,0,Graduation,58606,12,60,26,28,26,29,8,1
Together,0,1,Graduation,68937,45,75,9,65,46,34,7,1
Married,1,2,Graduation,68728,53,0,29,36,68,70,0,0
Single,0,0,PhD,69499,33,133,17,72,27,21,10,0
Single,0,0,Graduation,57917,36,118,11,55,22,18,13,1
Married,0,1,Graduation,85705,56,81,15,95,66,41,7,1
Together,0,2,Master,73961,16,0,18,67,55,58,0,1
Together,2,2,Graduation,62772,36,0,44,0,67,91,0,1
Married,1,2,Graduation,78268,32,0,28,44,84,92,0,1
Married,1,0,2n Cycle,67976,55,49,28,34,21,39,8,0
Single,0,0,Graduation,46401,43,91,15,37,18,16,5,0
Single,0,0,Master,80298,65,158,15,64,34,29,12,0
Together,1,0,Master,63634,32,67,39,37,29,29,6,1
Married,0,1,Graduation,67861,16,76,13,73,48,40,9,1
Single,1,0,2n Cycle,35296,18,37,10,12,7,18,1,0
Single,0,0,Master,82329,25,161,23,87,31,20,10,1
Married,1,2,PhD,91869,35,0,37,45,90,91,0,1
Single,0,0,Graduation,67272,32,112,12,62,11,13,10,0
Single,0,0,Master,82207,41,193,14,77,34,22,19,1
Married,2,1,Graduation,85335,27,0,53,0,49,100,0,1
Married,2,0,Graduation,62435,22,0,35,0,22,35,0,1
Married,0,2,Master,80181,34,0,19,75,84,56,0,0
Single,0,0,2n Cycle,56712,58,101,14,58,20,11,17,1
Married,2,2,Graduation,70290,23,0,43,0,64,103,0,1
Single,1,0,Graduation,50932,53,44,16,22,18,32,6,1
Single,0,0,Graduation,84375,35,165,14,80,37,25,26,1
Married,2,1,Graduation,88212,30,0,47,0,39,68,0,1
Married,0,2,Basic,66651,34,0,15,64,65,47,0,0
Together,0,1,Graduation,86352,52,78,16,86,53,45,11,0
Married,0,1,Graduation,80116,43,81,16,82,54,39,9,0
Married,0,0,Master,75453,32,164,13,80,16,17,20,1
Single,0,0,2n Cycle,51677,52,97,17,40,19,17,13,1
Single,0,0,Master,75785,28,135,12,81,25,24,20,1
Single,0,0,Graduation,42328,51,104,6,41,18,11,5,0
Single,0,0,PhD,93000,40,200,16,94,31,21,17,1
Widow,0,0,PhD,70572,45,136,13,82,19,19,19,1
Single,0,0,Graduation,79535,41,165,15,83,36,25,16,1
Together,1,0,Basic,60450,29,60,18,42,15,37,7,1
Married,2,0,Master,109261,18,0,71,0,57,88,0,1
Married,0,0,Graduation,75701,58,158,19,78,21,20,16,1
Married,0,2,Basic,69839,61,0,25,78,73,59,0,0
Married,2,2,2n Cycle,78454,26,0,43,0,58,110,0,1
Married,0,0,Graduation,59716,44,109,10,49,19,8,9,0
Single,0,0,PhD,63989,25,143,11,62,19,18,14,1
Married,2,0,PhD,75993,6,0,48,0,22,57,0,1
Single,0,0,Graduation,62509,19,123,14,66,19,11,16,1
Single,0,0,Graduation,62891,51,125,15,58,20,18,8,1
Married,0,1,Basic,60510,12,53,12,68,32,28,5,1
Single,0,0,Graduation,70412,52,134,12,67,14,12,8,1
Together,1,0,Master,61857,22,55,21,25,18,29,6,1
Widow,0,0,Master,97584,42,175,20,98,30,34,17,1
Together,0,2,Graduation,72457,26,0,10,70,76,62,0,1
Single,0,0,2n Cycle,81710,25,183,20,84,24,19,18,0
Single,0,0,Graduation,69463,22,147,17,72,29,17,18,0
Together,2,2,PhD,81958,0,0,45,0,109,97,0,1
Married,0,2,Graduation,105212,13,0,20,101,98,70,0,1
Widow,0,0,Graduation,76740,75,152,24,55,29,14,11,1
Widow,0,0,Master,89342,60,188,15,89,30,33,29,1
Together,0,0,Master,79518,44,164,16,63,21,21,19,1
Single,1,0,PhD,93965,30,93,40,39,31,54,7,0
Single,0,0,Graduation,64282,34,128,11,59,19,16,17,1
Together,1,2,Graduation,107505,25,0,43,51,89,120,0,1
Single,0,0,Graduation,54400,35,107,5,48,16,14,9,0
Single,0,0,PhD,102343,31,195,20,93,30,24,24,1
Married,0,1,Master,58064,46,59,18,50,29,25,4,1
Together,0,2,Master,58231,19,0,11,62,67,37,0,1
Married,1,2,2n Cycle,44656,0,0,20,26,43,36,0,0
Married,0,0,Master,66121,34,152,18,80,18,22,16,0
Single,0,0,Graduation,38459,67,90,7,43,13,6,10,0
Married,0,0,Basic,61622,19,110,12,60,12,16,14,0
Widow,0,0,2n Cycle,59606,25,118,15,53,16,11,9,0
Single,0,0,Master,92721,31,197,13,100,30,22,16,1
Married,1,2,Graduation,80540,2,0,32,44,81,86,0,1
Together,1,1,Master,73999,55,0,24,34,49,55,0,1
Married,0,1,Master,83986,38,85,20,78,66,43,7,1
Married,0,2,Basic,69690,6,0,14,80,73,55,0,0
Married,0,2,Master,97890,28,0,23,102,81,77,0,1
Single,0,0,Graduation,55541,43,112,17,65,15,15,8,1
Single,0,0,Graduation,52775,41,106,13,59,14,16,13,1
Together,0,0,Graduation,72221,40,154,11,73,30,12,16,1
Together,1,1,Master,96534,28,0,29,50,73,76,0,1
Together,0,0,Graduation,45571,50,76,6,45,19,12,14,0
Together,0,2,Master,78987,37,0,15,80,81,65,0,1
Married,0,1,Master,99364,12,83,16,102,71,52,8,1
Married,0,1,Graduation,82234,37,85,12,98,68,56,7,0
Married,2,2,Graduation,77980,24,0,51,0,89,111,0,1
Married,0,0,Master,88105,32,185,19,89,21,22,12,0
Married,0,2,Basic,87050,56,0,11,72,93,72,0,1
Married,1,2,Master,91924,24,0,35,48,88,80,0,1
Together,0,2,Master,49733,42,0,10,43,48,43,0,0
Single,0,0,Graduation,61731,37,133,13,62,12,15,10,1
Single,0,0,PhD,81313,37,170,20,69,33,28,14,1
Single,0,0,Graduation,78387,47,178,14,86,22,15,19,1
Married,1,0,PhD,91249,15,106,37,40,22,49,11,1
Single,0,0,Graduation,63240,54,126,12,70,17,18,13,0
Married,1,0,Master,80640,18,61,31,43,29,50,5,1
Married,1,2,Graduation,76597,40,0,33,30,92,66,0,1
Single,0,0,Master,68599,39,139,11,67,27,18,12,0
Married,0,1,Graduation,66713,69,69,7,85,47,36,9,1
Single,0,0,Graduation,60784,58,139,17,73,15,20,16,1
Single,0,0,2n Cycle,62576,58,133,16,50,28,12,17,0
Together,1,1,Master,82310,33,0,31,46,57,56,0,1
Single,0,0,Graduation,104046,54,206,19,102,40,28,19,1
Single,0,0,Master,50061,56,109,13,42,22,15,11,1
Married,0,1,Master,88807,7,108,12,89,57,39,8,1
Married,1,2,PhD,112136,10,0,46,70,123,114,0,1
Single,0,0,2n Cycle,46397,31,78,15,32,14,8,4,0
Married,2,1,Master,90270,14,0,43,0,55,98,0,1
Single,1,0,Graduation,57526,35,55,23,35,21,33,7,1
Single,0,0,Master,62253,51,124,11,68,28,19,10,0
Married,1,0,Master,69003,55,83,29,25,19,33,6,1
Married,0,0,Basic,58639,53,135,6,63,19,14,10,1
Married,1,1,Graduation,71077,51,0,36,41,51,55,0,0
Married,1,1,Graduation,84299,15,0,37,35,50,74,0,1
Widow,0,0,Graduation,56337,36,111,6,66,11,16,13,0
Married,0,0,PhD,102750,35,197,17,112,28,32,27,1
Single,0,0,Graduation,75416,32,143,11,75,19,13,17,1
Married,0,1,PhD,94634,18,94,17,103,66,32,9,1
Single,0,0,Graduation,97317,46,178,24,86,38,30,17,1
Married,0,1,PhD,108501,23,98,18,118,73,62,11,1
Single,0,0,Master,62486,55,130,14,71,19,23,10,0
Single,0,0,Master,52157,26,102,10,55,16,8,15,1
Widow,1,0,2n Cycle,62682,51,61,26,25,20,29,7,1
Together,2,0,Graduation,57284,37,0,43,0,21,42,0,1
Married,0,1,2n Cycle,40576,44,46,5,38,22,15,8,1
Married,1,1,Graduation,80414,35,0,35,47,60,55,0,1
Single,0,0,Graduation,43292,44,84,8,42,15,10,8,0
Single,0,0,Master,73495,41,159,10,77,24,19,12,1
Single,0,0,Basic,64067,39,126,7,86,22,14,7,1
Married,2,2,Graduation,93992,25,0,47,0,104,123,0,1
Married,1,2,Graduation,69228,36,0,35,32,62,65,0,1
Married,1,0,2n Cycle,57255,32,56,19,33,12,29,3,1
Single,0,0,Graduation,83046,62,175,20,78,23,9,9,0
Widow,0,0,Master,107596,33,216,25,121,31,21,23,1
Married,0,2,2n Cycle,78239,21,0,13,72,75,46,0,1
Married,0,2,Master,69621,30,0,12,71,78,49,0,1
Married,1,0,Graduation,53245,28,43,22,26,17,32,5,1
Married,2,2,Master,96743,27,0,54,0,100,118,0,1
Single,0,0,Graduation,62075,41,131,14,45,20,10,13,1
Single,0,0,Master,88596,52,188,19,86,23,23,27,1
Married,0,1,2n Cycle,58021,38,51,19,54,37,32,5,1
Single,0,0,Graduation,79630,40,162,17,65,33,19,17,1
Single,0,0,Graduation,84112,35,162,18,85,30,17,16,1
Single,1,0,Master,66369,50,60,31,43,25,21,6,0
Single,0,0,Master,74629,38,140,11,70,24,11,17,0
Together,2,2,Basic,35582,30,0,20,0,40,36,0,0
Married,0,2,Basic,42959,51,0,3,39,48,32,0,0
Married,0,2,Graduation,77759,30,0,21,58,86,74,0,0
Single,0,0,2n Cycle,49897,43,96,5,46,20,11,10,0
Married,0,2,Graduation,76610,28,0,21,77,80,59,0,1
Married,1,2,Master,82457,29,0,36,36,69,81,0,0
Single,1,0,PhD,89787,48,86,35,46,20,36,6,1
Married,0,1,PhD,97945,46,109,15,105,68,46,7,1
Single,0,0,Master,83808,48,166,18,73,35,24,31,0
Married,1,2,Basic,63405,46,0,21,31,58,60,0,1
Married,0,1,Graduation,77609,38,88,17,61,44,45,6,1
Single,0,0,Graduation,62968,64,124,11,68,24,11,7,0
Single,0,0,Graduation,78746,57,153,16,73,30,27,12,1
Married,2,2,Graduation,100606,10,0,53,0,115,132,0,1
Married,2,1,PhD,101244,36,0,63,0,61,88,0,1
Together,0,1,Master,80461,9,76,10,82,65,36,9,1
Married,0,2,2n Cycle,64739,51,0,14,63,57,59,0,0
Single,0,0,Graduation,66644,42,143,13,78,20,14,7,0
Single,0,0,Master,64075,31,120,11,74,26,17,13,1
Married,1,1,Master,70761,6,0,32,51,52,66,0,0
Single,0,0,Graduation,60057,41,111,10,56,20,23,8,0
Married,1,1,Master,106844,47,0,42,46,74,78,0,1
Together,0,2,Master,71728,36,0,12,102,73,50,0,1
Married,0,1,Graduation,97351,29,104,23,96,64,42,11,1
Single,0,0,Graduation,48418,42,90,12,48,15,19,11,0
Married,0,2,Master,82084,51,0,9,91,82,56,0,1
Married,0,0,Master,90810,51,170,15,90,31,25,19,1
Married,0,2,Graduation,84582,30,0,21,78,86,66,0,0
Together,1,2,Master,56755,43,0,16,22,66,61,0,0
Single,0,0,Master,51763,56,77,6,41,17,10,10,0
Widow,0,0,Master,94291,27,188,22,88,44,22,16,1
Together,2,0,Graduation,57701,29,0,43,0,21,39,0,0
Single,0,0,PhD,89516,62,183,16,98,30,26,20,1
Single,0,0,Graduation,84536,51,170,16,87,27,21,18,1
Single,0,0,Graduation,53158,71,136,12,60,16,17,9,1
Single,0,0,Master,62166,52,127,12,66,19,19,11,1
Single,0,0,Graduation,32607,36,63,5,31,4,9,9,0
Married,0,0,Graduation,85016,41,177,17,81,24,28,15,1
Single,0,0,Master,101956,51,203,25,98,35,36,24,1
Single,0,0,Graduation,44297,45,88,7,40,9,13,9,1
Together,0,1,Graduation,84659,37,77,14,107,43,40,4,1
Single,0,0,2n Cycle,78031,72,127,17,83,27,23,13,1
Together,1,2,Basic,64759,24,0,37,27,51,70,0,1
Single,0,0,2n Cycle,48917,49,104,12,55,15,14,6,1
Single,0,0,PhD,76348,46,165,6,83,23,16,18,1
Married,0,1,Master,88285,49,89,16,90,70,42,8,1
Married,2,0,PhD,97846,34,0,55,0,29,91,0,1
Together,0,2,Basic,49242,37,0,11,53,52,23,0,0
Married,0,2,Master,86906,61,0,19,89,92,74,0,1
Together,2,0,Basic,47583,33,0,22,0,17,37,0,1
Single,0,0,Master,68311,54,147,18,69,35,23,19,1
Single,0,0,Graduation,59957,24,131,13,51,20,17,8,1
Married,1,0,2n Cycle,84422,36,83,37,50,28,56,6,0
Together,1,1,Graduation,44572,34,0,18,22,33,39,0,0
Widow,0,0,Graduation,87748,40,182,14,90,35,31,17,1
Married,0,2,Master,85388,5,0,21,92,86,66,0,1
Single,0,0,Master,35962,41,66,8,34,13,14,9,0
Married,2,1,Master,93065,12,0,53,0,56,96,0,1
Single,0,0,PhD,94936,56,195,28,80,25,26,24,1
Together,2,2,Graduation,59921,11,0,29,0,74,69,0,1
Together,0,0,Graduation,73271,52,139,12,86,19,21,15,0
Married,1,1,Master,84014,41,0,33,43,49,55,0,1
Married,0,2,Graduation,106478,20,0,21,120,110,66,0,1
Married,0,0,Basic,67536,30,149,19,56,23,12,22,1
Single,0,0,Master,71586,38,142,14,63,26,14,12,1
Together,1,2,2n Cycle,77424,21,0,33,41,80,72,0,1
Married,0,1,Graduation,97115,20,84,19,102,64,37,9,1
Together,0,2,2n Cycle,92080,26,0,17,93,96,67,0,1
Single,0,0,2n Cycle,49036,49,107,9,45,15,8,6,0
Together,2,0,Basic,59446,16,0,35,0,22,41,0,1
Single,1,0,2n Cycle,48682,37,52,28,20,14,19,7,0
Single,0,0,Graduation,97817,32,204,21,111,36,30,19,1
Together,1,0,Graduation,66709,39,69,24,36,32,32,5,1
Single,0,0,2n Cycle,72356,71,161,7,75,18,13,13,1
Single,0,0,Master,67519,20,120,14,73,28,20,15,1
Widow,0,0,Graduation,85486,39,169,15,73,18,26,20,1
Widow,0,0,Basic,37912,50,88,10,48,17,13,9,1
Married,1,1,Graduation,88602,23,0,42,41,64,63,0,1
Married,2,1,Graduation,92539,31,0,52,0,55,92,0,1
Married,1,1,Graduation,64111,11,0,26,39,52,47,0,1
Single,0,0,Graduation,35851,41,72,5,42,12,11,7,0
Single,0,0,Master,92243,0,186,18,81,23,22,13,1
Married,0,0,Graduation,93340,37,166,9,109,32,21,9,1
Married,1,2,PhD,101865,6,0,43,53,105,108,0,1
Married,0,1,Graduation,70223,42,61,17,60,51,44,8,1
Married,2,0,Graduation,68799,54,0,60,0,30,49,0,1
Single,0,0,Graduation,83010,45,152,13,80,26,22,16,0
Married,1,1,Master,75188,31,0,21,37,71,54,0,1
Single,1,0,2n Cycle,60361,31,66,23,30,22,33,5,1
Married,1,1,Graduation,72920,28,0,36,21,41,57,0,1
Married,1,2,Graduation,77919,23,0,34,35,74,72,0,1
Together,1,2,Master,71389,28,0,30,39,72,75,0,1
Single,0,0,PhD,80145,49,150,16,98,26,18,17,0
Single,0,0,PhD,106872,27,191,27,113,39,27,21,1
Single,0,0,Graduation,70871,60,137,11,60,14,19,19,1
Married,0,0,Graduation,78740,38,171,17,84,24,24,11,0
Married,2,2,Master,92326,20,0,49,0,92,112,0,1
Single,0,0,Graduation,46217,64,78,11,45,11,9,7,0
Single,0,0,Graduation,78264,10,165,9,85,20,19,15,1
Married,2,1,Master,84542,0,0,53,0,51,88,0,1
Single,0,0,Graduation,53744,50,87,6,61,14,10,10,0
Together,0,2,PhD,81556,31,0,20,91,83,66,0,1
Married,1,0,Graduation,80997,59,77,32,36,31,32,9,0
Single,0,0,Graduation,64292,26,117,14,72,20,10,16,1
Single,0,0,Graduation,79292,49,126,20,68,27,20,11,1
Widow,0,0,Master,73727,37,121,20,83,28,11,16,1
Single,0,0,Graduation,46123,59,116,15,33,15,11,12,1
Single,0,0,Graduation,51569,12,105,12,59,13,7,8,0
Together,0,2,PhD,76854,28,0,17,95,70,52,0,0
Together,1,2,Graduation,68012,39,0,40,38,51,84,0,1
Widow,0,0,Graduation,73028,30,168,14,74,22,13,16,1
Married,0,1,Master,62192,37,74,5,60,54,24,6,1
Single,0,0,Master,49704,45,99,9,51,15,20,11,0
Single,1,0,Basic,30824,46,28,13,17,15,8,3,1
Married,0,2,Graduation,68674,16,0,7,72,49,61,0,0
